Type,Yarn#,Description,Pounds,Mill,Usage,Loss%,Lbs/Wk,MillStyle,
Dye,48E-157,RED,316,W,,1,,   7625-24232-1   ,
Dye,48E-160,AQUA,409,W,,1,,   7331A24127-1   ,
Dye,48E-169,RED,621,W,,1,,   7331A24128-1   ,
Dye,48E-193,NAVY,336,W,,1,,   7527A24034-1   ,
Dye,48E-193,NAVY,778,W,,1,,   7625-24232-1   ,
Dye,48E-193,NAVY,235,W,,1,,   7681A22591-3   ,
Dye,48E-193,NAVY,65,W,,1,,   7625-24296-1   ,
Dye,48E-202,BROWN,296,W,,1,,   7331A24329-1   ,
Dye,48E-202,BROWN,114,W,,1,,   7331A24389-1   ,
Dye,48E-204,SLATE,98,W,,1,,   7331A24389-1   ,
Dye,48E-204,SLATE,336,W,,1,,   7625-24296-4   ,
Dye,48E-205,BROWN,296,W,,1,,   7331A24329-1   ,
Dye,48E-227,TAN,1762,W,,1,,   7601-18743-1   ,
Dye,48E-227,TAN,62,W,,1,,   7331A24389-1   ,
Dye,48E-286,BLUE,331,W,,1,,   7697A24058-1   ,
Dye,48E-286,BLUE,28,W,,1,,   7681A22591-3   ,
Dye,48E-295,DRAB,114,W,,1,,   7331A24389-1   ,
Dye,48E-298,TURQUOISE,84,W,,1,,   7625-23939-4   ,
Dye,48E-311,PEACH,84,W,,1,,   7625-23939-3   ,
Dye,48E-314,YELLOW,56,W,,1,,   7625-24306-1   ,
Dye,48E-314,YELLOW,60,W,,1,,   7625-24307-1   ,
Dye,48E-315,RED,56,W,,1,,   7625-24306-1   ,
Dye,48E-315,RED,216,W,,1,,   7625-24307-1   ,
Dye,48E-316,GREEN,56,W,,1,,   7625-24306-1   ,
Dye,48E-316,GREEN,246,W,,1,,   7625-24307-1   ,
Dye,48E-360,COPPER,112,W,,1,,   7697A24058-1   ,
Dye,48E-360,COPPER,53,W,,1,,   7625-24296-1   ,
Dye,48E-360,COPPER,41,W,,1,,   7625-24296-4   ,
Dye,48E-441,BLUE,98,W,,1,,   7697A24058-1   ,
Dye,48E-472,YELLOW,139,W,,1,,   7625-24232-1   ,
Dye,48E-529,COPPER,112,W,,1,,   7697A24058-1   ,
Dye,48E-543,BROWN,347,W,,1,,   7625-23939-1   ,
Dye,48E-543,BROWN,32,W,,1,,   7625-23939-4   ,
Dye,48E-620,GREEN,151,W,,1,,   7625-24296-1   ,
Dye,48E-727,MAROON,84,W,,1,,   7625-23939-1   ,
Dye,48E-727,MAROON,60,W,,1,,   7625-24296-1   ,
Dye,48E-814,GREEN,371,W,,1,,   7527A24034-1   ,
Dye,48E-814,GREEN,523,W,,1,,   7625-24231-1   ,
Dye,48E-827,BRONZE,37,W,,1,,   7625-22653-3   ,
Dye,48E-827,BRONZE,32,W,,1,,   7625-23939-3   ,
Dye,48E-827,BRONZE,230,W,,1,,   7625-24231-1   ,
Dye,48E-827,BRONZE,31,W,,1,,   7681A22591-3   ,
Dye,48E-834,BROWN,84,W,,1,,   7625-23939-2   ,
Dye,48E-933,TAUPE,5,W,,1,,   7625-22653-3   ,
Dye,48E-938,GREEN,32,W,,1,,   7625-23939-2   ,
Dye,48E-986,TURQUOISE,126,W,,1,,   7697A24058-1   ,
Dye,48E-A66,TAN,275,W,,1,,   7625-23570-5   ,
Dye,48E-A66,TAN,162,W,,1,,   7625-23939-2   ,
Dye,48E-A66,TAN,192,W,,1,,   7625-24231-1   ,
Dye,48E-A66,TAN,266,W,,1,,   7681A22591-3   ,
Dye,48E-A66,TAN,79,W,,1,,   7625-24296-1   ,
Dye,48E-A66,TAN,79,W,,1,,   7625-24296-4   ,
Dye,48E-B91,TAN,62,W,,1,,   7331A24389-1   ,
Dye,48E-D58,BROWN,32,W,,1,,   7625-23939-1   ,
Dye,48E-D58,BROWN,159,W,,1,,   7625-24231-1   ,
Dye,48E-D58,BROWN,316,W,,1,,   7625-24232-1   ,
Dye,48E-D58,BROWN,41,W,,1,,   7625-24296-1   ,
Dye,48E-F19,OLVIE,10,W,,1,,   7625-22653-3   ,
Dye,48E-K82,E ORANGE,62,W,,1,,   7331A24389-1   ,
Dye,72B-099,GREY,62,W,,1,,   7740-24012-1   ,
Dye,72B-099,GREY,33,W,,1,,   7740-24029-1   ,
Dye,72B-099,GREY,299,W,,1,,   7742-24170-1   ,
Dye,72B-102,BLACK,348,W,,1,,   7652-22008-1   ,
Dye,72B-102,BLACK,605,W,,1,,   7652-23580-1   ,
Dye,72B-102,BLACK,703,W,,1,,   7652-23580-2   ,
Dye,72B-102,BLACK,646,W,,1,,    783A24007-1   ,
Dye,72B-102,BLACK,292,W,,1,,    783A24008-1   ,
Dye,72B-102,BLACK,466,W,,1,,    783A24009-1   ,
Dye,72B-102,BLACK,122,W,,1,,   7652-23581-1   ,
Dye,72B-102,BLACK,1784,W,,1,,   7652-23582-1   ,
Dye,72B-102,BLACK,410,W,,1,,   7652-23883-1   ,
Dye,72B-102,BLACK,42,W,,1,,   7652-23888-1   ,
Dye,72B-102,BLACK,2328,W,,1,,   7652-24077-1   ,
Dye,72B-102,BLACK,36,W,,1,,   7742-24040-1   ,
Dye,72B-102,BLACK,324,W,,1,,   7740-23994-1   ,
Dye,72B-102,BLACK,35,W,,1,,   7740-23995-1   ,
Dye,72B-102,BLACK,64,W,,1,,   7740-24011-1   ,
Dye,72B-102,BLACK,244,W,,1,,   7740-24012-1   ,
Dye,72B-102,BLACK,359,W,,1,,   7742-24170-1   ,
Dye,72B-102,BLACK,3335,W,,1,,   7742-24170-2   ,
Dye,72B-102,BLACK,458,W,,1,,    783A24336-1   ,
Dye,72B-102,BLACK,91,W,,1,,    783A24337-1   ,
Dye,72B-102,BLACK,161,W,,1,,   7742-24021-1   ,
Dye,72B-102,BLACK,176,W,,1,,   7742-24443-1   ,
Dye,72B-112,BLUE,108,W,,1,,   7740-24029-1   ,
Dye,72B-112,BLUE,148,W,,1,,   7742-24021-1   ,
Dye,72B-140,NAVY,237,W,,1,,   7742-24019-1   ,
Dye,72B-140,NAVY,119,W,,1,,   7740-24015-1   ,
Dye,72B-140,NAVY,62,W,,1,,   7740-24029-1   ,
Dye,72B-140,NAVY,76,W,,1,,   7740-24030-1   ,
Dye,72B-148,NAVY,1424,W,,1,,   7652-23582-1   ,
Dye,72B-152,BLUE,688,W,,1,,   7652-23580-2   ,
Dye,72B-152,BLUE,516,W,,1,,   7652-23883-1   ,
Dye,72B-152,BLUE,29,W,,1,,   7652-24077-1   ,
Dye,72B-152,BLUE,134,W,,1,,   7740-24014-1   ,
Dye,72B-152,BLUE,118,W,,1,,   7740-24015-1   ,
Dye,72B-152,BLUE,376,W,,1,,   7742-24170-1   ,
Dye,72B-152,BLUE,44,W,,1,,   7742-24443-1   ,
Dye,72B-157,RED,323,W,,1,,    783A24008-1   ,
Dye,72B-157,RED,65,W,,1,,   7740-24011-1   ,
Dye,72B-157,RED,26,W,,1,,   7740-24030-1   ,
Dye,72B-157,RED,440,W,,1,,    783A24336-1   ,
Dye,72B-157,RED,138,W,,1,,   7742-24443-1   ,
Dye,72B-160,AQUA,40,W,,1,,   7740-24013-1   ,
Dye,72B-160,AQUA,138,W,,1,,   7742-24021-1   ,
Dye,72B-166,BLUE,19,W,,1,,   7652-23581-1   ,
Dye,72B-169,SCARLET,1533,W,,1,,   7652-23580-2   ,
Dye,72B-181,GOLD,19,W,,1,,    783A24336-1   ,
Dye,72B-181,GOLD,208,W,,1,,   7652-24268-1   ,
Dye,72B-183,RED,453,W,,1,,   7652-23580-1   ,
Dye,72B-188,MAROON,346,W,,1,,   7652-24269-1   ,
Dye,72B-193,NAVY,554,W,,1,,    783A24007-1   ,
Dye,72B-193,NAVY,297,W,,1,,   7740-23994-1   ,
Dye,72B-193,NAVY,94,W,,1,,   7740-24014-1   ,
Dye,72B-193,NAVY,54,W,,1,,   7740-24015-1   ,
Dye,72B-193,NAVY,551,W,,1,,    783A24338-1   ,
Dye,72B-202,BROWN,333,W,,1,,   7652-22384-1   ,
Dye,72B-202,BROWN,832,W,,1,,   7652-22833-1   ,
Dye,72B-202,BROWN,60,W,,1,,   7652-23921-1   ,
Dye,72B-202,BROWN,132,W,,1,,   7740-24011-1   ,
Dye,72B-202,BROWN,129,W,,1,,   7740-24013-1   ,
Dye,72B-202,BROWN,215,W,,1,,   7740-24029-1   ,
Dye,72B-205,BROWN,312,W,,1,,   7652-24268-1   ,
Dye,72B-205,BROWN,115,W,,1,,   7652-24269-1   ,
Dye,72B-237,GOLD,52,W,,1,,   7740-24030-1   ,
Dye,72B-273,GREY,1664,W,,1,,   7652-22833-1   ,
Dye,72B-273,GREY,83,W,,1,,   7740-24012-1   ,
Dye,72B-273,GREY,133,W,,1,,   7740-24014-1   ,
Dye,72B-273,GREY,3491,W,,1,,   7742-24170-2   ,
Dye,72B-286,BLUE,330,W,,1,,   7652-24268-1   ,
Dye,72B-289,ORANGE,53,W,,1,,   7652-24077-1   ,
Dye,72B-293,ORANGE,54,W,,1,,   7740-24015-1   ,
Dye,72B-295,DRAB,232,W,,1,,   7652-23921-1   ,
Dye,72B-295,DRAB,91,W,,1,,   7652-24077-1   ,
Dye,72B-298,TURQUOISE,6,W,,1,,    783A24009-1   ,
Dye,72B-298,TURQUOISE,77,W,,1,,   7652-23883-1   ,
Dye,72B-298,TURQUOISE,56,W,,1,,   7742-24019-1   ,
Dye,72B-298,TURQUOISE,4,W,,1,,   7740-24012-1   ,
Dye,72B-304,RED,363,W,,1,,   7742-24019-1   ,
Dye,72B-304,RED,128,W,,1,,   7740-24011-1   ,
Dye,72B-304,RED,22,W,,1,,   7740-24029-1   ,
Dye,72B-314,YELLOW,348,W,,1,,   7652-22008-1   ,
Dye,72B-314,YELLOW,43,W,,1,,   7652-24077-1   ,
Dye,72B-314,YELLOW,36,W,,1,,   7742-24040-1   ,
Dye,72B-314,YELLOW,11,W,,1,,   7740-23995-1   ,
Dye,72B-315,RED,348,W,,1,,   7652-22008-1   ,
Dye,72B-315,RED,72,W,,1,,   7652-24077-1   ,
Dye,72B-315,RED,36,W,,1,,   7742-24040-1   ,
Dye,72B-315,RED,34,W,,1,,   7740-23995-1   ,
Dye,72B-316,GREEN,348,W,,1,,   7652-22008-1   ,
Dye,72B-316,GREEN,526,W,,1,,   7652-23580-2   ,
Dye,72B-316,GREEN,76,W,,1,,   7652-23581-1   ,
Dye,72B-316,GREEN,1376,W,,1,,   7652-23582-1   ,
Dye,72B-316,GREEN,36,W,,1,,   7742-24040-1   ,
Dye,72B-316,GREEN,40,W,,1,,   7740-23995-1   ,
Dye,72B-318,BROWN,77,W,,1,,   7652-23883-1   ,
