Type,Yarn#,Description,Pounds,,Usage,,,Lbs/Wk,MillStyle,,
Pur,PE5-011,WHITE NAT.,205,,PkgDye,,,0,    642A23418-3   ,,
Pur,PE5-011,WHITE NAT.,5,,,,,0,    642A24110-1   ,,
Pur,PE5-011,WHITE NAT.,815,,PkgDye,,,0,    642A24110-1   ,,
Pur,PE5-011,WHITE NAT.,819,,PkgDye,,,0,    642A24111-1   ,,
Pur,PE5-011,WHITE NAT.,409,,PkgDye,,,0,    642A23804-1   ,,
Pur,PE5-011,WHITE NAT.,1076,,PkgDye,,,0,    641A24187-1   ,,
Pur,PE5-011,WHITE NAT.,70,,,,,0,    641A24188-1   ,,
Pur,PE5-011,WHITE NAT.,290,,PkgDye,,,0,    641A24188-1   ,,
Pur,PE5-011,WHITE NAT.,1460,,PkgDye,,,0,    485A23417-4   ,,
Pur,PE5-011,WHITE NAT.,81,,,,,0,    641A24244-1   ,,
Pur,PE5-011,WHITE NAT.,1173,,PkgDye,,,0,    641A24244-1   ,,
Pur,PE5-011,WHITE NAT.,6,,,,,0,    641A20467-2   ,,
Pur,PE5-011,WHITE NAT.,713,,PkgDye,,,0,    641A20467-2   ,,
Pur,PE5-011,WHITE NAT.,541,,PkgDye,,,0,    641A24339-1   ,,
Pur,PE5-011,WHITE NAT.,610,,PkgDye,,,0,    642A24340-1   ,,
Pur,PE5-011,WHITE NAT.,818,,PkgDye,,,0,    642A24341-1   ,,
Pur,PE5-011,WHITE NAT.,816,,PkgDye,,,0,    642A24342-1   ,,
Pur,PE5-011,WHITE NAT.,682,,PkgDye,,,0,    747A24343-1   ,,
Pur,PE5-011,WHITE NAT.,683,,PkgDye,,,0,    747A24344-1   ,,
Pur,PE5-011,WHITE NAT.,184,,PkgDye,,,0,    747A24345-1   ,,
Pur,PE5-011,WHITE NAT.,703,,PkgDye,,,0,    641A16367-1   ,,
Pur,PE5-011,WHITE NAT.,457,,PkgDye,,,0,    495A24355-1   ,,
Pur,PE5-011,WHITE NAT.,360,,PkgDye,,,0,    641A24363-1   ,,
Pur,PE5-011,WHITE NAT.,170,,,,,0,    641A23634-3   ,,
Pur,PE5-011,WHITE NAT.,187,,PkgDye,,,0,    641A23634-3   ,,
Pur,PE5-011,WHITE NAT.,820,,PkgDye,,,0,    642A24368-1   ,,
Pur,PE5-011,WHITE NAT.,408,,PkgDye,,,0,    642A24421-1   ,,
Pur,PE5-011,WHITE NAT.,959,,PkgDye,,,0,    785A24423-1   ,,
Pur,PE5-011,WHITE NAT.,3782,,,,,0,    785A24413-GRG ,,
Pur,PE5-011,WHITE NAT.,77,,,,,0,    309A24352-1   ,,
Pur,PE5-011,WHITE NAT.,116,,PkgDye,,,0,    309A24352-1   ,,
Pur,PE5-011,WHITE NAT.,408,,PkgDye,,,0,    642A24137-1   ,,
Pur,PE5-011,WHITE NAT.,20,,,,,0,    642A24497-1   ,,
Pur,PE5-011,WHITE NAT.,594,,PkgDye,,,0,    642A24497-1   ,,
Pur,PE5-011,WHITE NAT.,227,,PkgDye,,,0,    747A24493-1   ,,
Pur,PE5-011,WHITE NAT.,454,,PkgDye,,,0,    747A24490-1   ,,
Pur,PE5-011,WHITE NAT.,85,,,,,0,    747A24491-1   ,,
Pur,PE5-011,WHITE NAT.,370,,PkgDye,,,0,    747A24491-1   ,,
Pur,PE5-011,WHITE NAT.,58,,,,,0,    747A24492-1   ,,
Pur,PE5-011,WHITE NAT.,397,,PkgDye,,,0,    747A24492-1   ,,
Pur,PE5-011,WHITE NAT.,358,,PkgDye,,,0,    641A24487-1   ,,
Pur,PE5-011,WHITE NAT.,20,,,,,0,    641A24488-1   ,,
Pur,PE5-011,WHITE NAT.,332,,PkgDye,,,0,    641A24488-1   ,,
Pur,PE5-011,WHITE NAT.,62,,,,,0,    641A24489-1   ,,
Pur,PE5-011,WHITE NAT.,299,,PkgDye,,,0,    641A24489-1   ,,
Pur,PE5-011,WHITE NAT.,129,,,,,0,    496A24494-1   ,,
Pur,PE5-011,WHITE NAT.,229,,PkgDye,,,0,    496A24494-1   ,,
Pur,PE5-011,WHITE NAT.,354,,PkgDye,,,0,    496A24495-1   ,,
Pur,PL4-001,POLY,2294,,,,,0,   8003-18446-GRG ,,
Pur,R21-001,WHT POLY,14,,,,,0,   8030-18739-GRG ,,
Pur,R21-001,WHT POLY,5,,,,,0,   8032-18951-GRG ,,
Pur,R21-001,WHT POLY,3,,,,,0,   8032-18951-U70 ,,
Pur,R21-001,WHT POLY,20,,,,,0,   8032-18951-W62 ,,
Pur,R21-001,WHT POLY,4,,,,,0,   8032-18951-S97 ,,
Pur,R21-001,WHT POLY,2,,,,,0,   8032-18951-102 ,,
Pur,R21-001,WHT POLY,1,,,,,0,   8003-18446-GRG ,,
Pur,R21-001,WHT POLY,1,,,,,0,   7371-15555-LGRG,,
Pur,R27-V71,GREEN MIX,4835,,,,,0,   7724A22538-V71 ,,
Pur,R30-001,POLY,3754,,,,,0,   8012-18826-GRG ,,
Pur,R32-001,RECYCLPOLY,1,,,,,0,   8011-18533-GRG ,,
Pur,R33-001,RECYC POLY,1222,,,,,0,   8011-18533-GRG ,,
Pur,R33-001,RECYC POLY,1787,,,,,0,   8003-18446-GRG ,,
Pur,R45-011,NATURAL,677,,PkgDye,,,0,   7697A24058-1   ,,
